Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
04/14/2020,ECOZ,AAPL,037833100,APPLE INC,204.00,273.250000,55743.00,3.12%,1786117.50,75000,3,
04/14/2020,ECOZ,ABBV,00287Y109,ABBVIE INC,219.00,79.120000,17327.28,0.97%,1786117.50,75000,3,
04/14/2020,ECOZ,ABC,03073E105,AMERISOURCEBERGEN CORP,270.00,85.450000,23071.50,1.29%,1786117.50,75000,3,
04/14/2020,ECOZ,ABT,002824100,ABBOTT LABS,478.00,85.490000,40864.22,2.29%,1786117.50,75000,3,
04/14/2020,ECOZ,ACN,G1151C101,ACCENTURE PLC IRELAND,75.00,172.570000,12942.75,0.72%,1786117.50,75000,3,
04/14/2020,ECOZ,ADBE,00724F101,ADOBE INC,69.00,320.650000,22124.85,1.24%,1786117.50,75000,3,
04/14/2020,ECOZ,ADP,053015103,AUTOMATIC DATA PROCESSING INC COM,57.00,139.530000,7953.21,0.45%,1786117.50,75000,3,
04/14/2020,ECOZ,AFL,001055102,AFLAC INC,315.00,37.280000,11743.20,0.66%,1786117.50,75000,3,
04/14/2020,ECOZ,ALL,020002101,ALLSTATE CORP,213.00,98.000000,20874.00,1.17%,1786117.50,75000,3,
04/14/2020,ECOZ,AMGN,031162100,AMGEN INC,69.00,218.270000,15060.63,0.84%,1786117.50,75000,3,
04/14/2020,ECOZ,AMZN,023135106,AMAZON COM INC,23.00,2168.870000,49884.01,2.79%,1786117.50,75000,3,
04/14/2020,ECOZ,AVB,053484101,AVALONBAY CMNTYS INC,63.00,161.410000,10168.83,0.57%,1786117.50,75000,3,
04/14/2020,ECOZ,AXP,025816109,AMERICAN EXPRESS CO,165.00,90.330000,14904.45,0.83%,1786117.50,75000,3,
04/14/2020,ECOZ,BAX,071813109,BAXTER INTL INC,387.00,86.000000,33282.00,1.86%,1786117.50,75000,3,
04/14/2020,ECOZ,BLK,09247X101,BLACKROCK INC,51.00,452.390000,23071.89,1.29%,1786117.50,75000,3,
04/14/2020,ECOZ,BLL,058498106,BALL CORP,258.00,67.320000,17368.56,0.97%,1786117.50,75000,3,
04/14/2020,ECOZ,BMY,110122108,BRISTOL-MYERS SQUIBB CO,393.00,58.920000,23155.56,1.30%,1786117.50,75000,3,
