Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
11/23/2020,AUGZ,2SPY  210730C00328670,2SPY  210730C00328670,SPY 7/30/2021 328.67 C,205.00,41.018749,840884.35,9.72%,8655465.00,325000,13,
11/23/2020,AUGZ,2SPY  210730P00295800,2SPY  210730P00295800,SPY 7/30/2021 295.80 P,-274.00,10.303749,-282322.72,-3.26%,8655465.00,325000,13,
11/23/2020,AUGZ,912796UC1,912796UC1,UNITED STATES TREAS BILLS,8107000.00,99.989000,8106108.23,93.65%,8655465.00,325000,13,
11/23/2020,AUGZ,Cash&Other,Cash&Other,Cash & Other,-9391.67,1.000000,-9391.67,-0.11%,8655465.00,325000,13,Y
11/23/2020,ECOZ,AAPL,037833100,APPLE INC,1383.00,117.340000,162281.22,2.48%,6542060.00,200000,8,
11/23/2020,ECOZ,ABBV,00287Y109,ABBVIE INC,377.00,100.840000,38016.68,0.58%,6542060.00,200000,8,
11/23/2020,ECOZ,ABC,03073E105,AMERISOURCEBERGEN CORP,889.00,100.460000,89308.94,1.37%,6542060.00,200000,8,
11/23/2020,ECOZ,ABT,002824100,ABBOTT LABS,1273.00,110.890000,141162.97,2.16%,6542060.00,200000,8,
11/23/2020,ECOZ,ADBE,00724F101,ADOBE SYSTEMS INCORPORATED,243.00,462.920000,112489.56,1.72%,6542060.00,200000,8,
11/23/2020,ECOZ,ALL,020002101,ALLSTATE CORP,283.00,100.180000,28350.94,0.43%,6542060.00,200000,8,
11/23/2020,ECOZ,AMD,007903107,ADVANCED MICRO DEVICES INC,801.00,84.640000,67796.64,1.04%,6542060.00,200000,8,
11/23/2020,ECOZ,AMGN,031162100,AMGEN INC,184.00,223.170000,41063.28,0.63%,6542060.00,200000,8,
11/23/2020,ECOZ,AMZN,023135106,AMAZON COM INC,64.00,3099.400000,198361.60,3.03%,6542060.00,200000,8,
11/23/2020,ECOZ,AXP,025816109,AMERICAN EXPRESS CO,453.00,112.580000,50998.74,0.78%,6542060.00,200000,8,
11/23/2020,ECOZ,BAX,071813109,BAXTER INTL INC,681.00,77.020000,52450.62,0.80%,6542060.00,200000,8,
11/23/2020,ECOZ,BKNG,09857L108,BOOKING HOLDINGS INC,43.00,1992.770000,85689.11,1.31%,6542060.00,200000,8,
11/23/2020,ECOZ,BLK,09247X101,BLACKROCK INC,136.00,672.710000,91488.56,1.40%,6542060.00,200000,8,
