Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
03/04/2020,ECOZ,AAPL,037833100,APPLE INC,272.00,289.320000,78695.04,3.08%,2553450.00,100000,4,
03/04/2020,ECOZ,ABBV,00287Y109,ABBVIE INC,292.00,87.570000,25570.44,1.00%,2553450.00,100000,4,
03/04/2020,ECOZ,ABC,03073E105,AMERISOURCEBERGEN CORP,360.00,85.870000,30913.20,1.21%,2553450.00,100000,4,
03/04/2020,ECOZ,ABT,002824100,ABBOTT LABS,552.00,77.990000,43050.48,1.69%,2553450.00,100000,4,
03/04/2020,ECOZ,ACN,G1151C101,ACCENTURE PLC IRELAND,100.00,182.220000,18222.00,0.71%,2553450.00,100000,4,
03/04/2020,ECOZ,ADBE,00724F101,ADOBE INC,92.00,348.340000,32047.28,1.26%,2553450.00,100000,4,
03/04/2020,ECOZ,ADP,053015103,AUTOMATIC DATA PROCESSING INC COM,76.00,155.240000,11798.24,0.46%,2553450.00,100000,4,
03/04/2020,ECOZ,AFL,001055102,AFLAC INC,420.00,43.330000,18198.60,0.71%,2553450.00,100000,4,
03/04/2020,ECOZ,ALL,020002101,ALLSTATE CORP,284.00,109.200000,31012.80,1.21%,2553450.00,100000,4,
03/04/2020,ECOZ,AMGN,031162100,AMGEN INC,92.00,204.420000,18806.64,0.74%,2553450.00,100000,4,
03/04/2020,ECOZ,AMZN,023135106,AMAZON COM INC,24.00,1908.990000,45815.76,1.79%,2553450.00,100000,4,
03/04/2020,ECOZ,AVB,053484101,AVALONBAY CMNTYS INC,84.00,208.730000,17533.32,0.69%,2553450.00,100000,4,
03/04/2020,ECOZ,AXP,025816109,AMERICAN EXPRESS CO,220.00,108.010000,23762.20,0.93%,2553450.00,100000,4,
03/04/2020,ECOZ,BAX,071813109,BAXTER INTL INC,516.00,85.910000,44329.56,1.74%,2553450.00,100000,4,
03/04/2020,ECOZ,BKNG,09857L108,BOOKING HLDGS INC,28.00,1683.020000,47124.56,1.85%,2553450.00,100000,4,
03/04/2020,ECOZ,BLK,09247X101,BLACKROCK INC,68.00,478.440000,32533.92,1.27%,2553450.00,100000,4,
03/04/2020,ECOZ,BLL,058498106,BALL CORP,344.00,76.150000,26195.60,1.03%,2553450.00,100000,4,
