Date,Account,Stock Ticker,CUSIP,Security Description,Shares,Price,Market Value,Weightings,Net Assets,Shares Outstanding,Creation Units,Money Market 
03/03/2020,ECOZ,AAPL,37833100,APPLE INC,272,298.81,81276.32,3.11%,2613380,100000,4,
03/03/2020,ECOZ,ABBV,00287Y109,ABBVIE INC,292,88.69,25897.48,0.99%,2613380,100000,4,
03/03/2020,ECOZ,ABC,3.07E+108,AMERISOURCEBERGEN CORP,360,87.16,31377.6,1.20%,2613380,100000,4,
03/03/2020,ECOZ,ABT,2824100,ABBOTT LABS,552,81.61,45048.72,1.72%,2613380,100000,4,
03/03/2020,ECOZ,ACN,G1151C101,ACCENTURE PLC IRELAND,100,189.55,18955,0.73%,2613380,100000,4,
03/03/2020,ECOZ,ADBE,00724F101,ADOBE INC,92,360.28,33145.76,1.27%,2613380,100000,4,
03/03/2020,ECOZ,ADP,53015103,AUTOMATIC DATA PROCESSING INC COM,76,163,12388,0.47%,2613380,100000,4,
03/03/2020,ECOZ,AFL,1055102,AFLAC INC,420,45.29,19021.8,0.73%,2613380,100000,4,
03/03/2020,ECOZ,ALL,20002101,ALLSTATE CORP,284,112.67,31998.28,1.22%,2613380,100000,4,
03/03/2020,ECOZ,AMGN,31162100,AMGEN INC,92,212.2,19522.4,0.75%,2613380,100000,4,
03/03/2020,ECOZ,AMZN,23135106,AMAZON COM INC,24,1953.95,46894.8,1.79%,2613380,100000,4,
03/03/2020,ECOZ,AVB,53484101,AVALONBAY CMNTYS INC,84,209.67,17612.28,0.67%,2613380,100000,4,
03/03/2020,ECOZ,AXP,25816109,AMERICAN EXPRESS CO,220,113.87,25051.4,0.96%,2613380,100000,4,
03/03/2020,ECOZ,BAX,71813109,BAXTER INTL INC,516,87.18,44984.88,1.72%,2613380,100000,4,
03/03/2020,ECOZ,BKNG,09857L108,BOOKING HLDGS INC,28,1728.98,48411.44,1.85%,2613380,100000,4,
03/03/2020,ECOZ,BLK,09247X101,BLACKROCK INC,68,487.94,33179.92,1.27%,2613380,100000,4,
03/03/2020,ECOZ,BLL,58498106,BALL CORP,344,75.17,25858.48,0.99%,2613380,100000,4,
03/03/2020,ECOZ,BMY,110122108,BRISTOL-MYERS SQUIBB CO,524,60.34,31618.16,1.21%,2613380,100000,4,
03/03/2020,ECOZ,BYND,8.86E+112,BEYOND MEAT INC,232,96.1,22295.2,0.85%,2613380,100000,4,
03/03/2020,ECOZ,CBOE,12503M108,CBOE GLOBAL MARKETS INC,368,118.18,43490.24,1.66%,2613380,100000,4,
03/03/2020,ECOZ,CBRE,12504L109,CBRE GROUP INC,440,58.19,25603.6,0.98%,2613380,100000,4,
03/03/2020,ECOZ,CL,194162103,COLGATE PALMOLIVE CO,356,72.44,25788.64,0.99%,2613380,100000,4,
03/03/2020,ECOZ,CLX,189054109,CLOROX CO DEL,148,172.01,25457.48,0.97%,2613380,100000,4,
03/03/2020,ECOZ,COST,22160K105,COSTCO WHSL CORP NEW,104,309.14,32150.56,1.23%,2613380,100000,4,
03/03/2020,ECOZ,CRM,79466L302,SALESFORCE COM INC,144,176.76,25453.44,0.97%,2613380,100000,4,
03/03/2020,ECOZ,CTXS,177376100,CITRIX SYS INC,364,108.78,39595.92,1.52%,2613380,100000,4,
03/03/2020,ECOZ,DIS,254687106,DISNEY WALT CO,420,119.98,50391.6,1.93%,2613380,100000,4,
03/03/2020,ECOZ,EA,285512109,ELECTRONIC ARTS INC,364,106.89,38907.96,1.49%,2613380,100000,4,
03/03/2020,ECOZ,EIX,281020107,EDISON INTL,444,70.44,31275.36,1.20%,2613380,100000,4,
03/03/2020,ECOZ,ES,30040W108,EVERSOURCE ENERGY,416,93.0525,38709.84,1.48%,2613380,100000,4,
03/03/2020,ECOZ,EXC,30161N101,EXELON CORP,276,45.43,12538.68,0.48%,2613380,100000,4,
03/03/2020,ECOZ,GILD,375558103,GILEAD SCIENCES INC,172,75.4,12968.8,0.50%,2613380,100000,4,
03/03/2020,ECOZ,GOOGL,02079K305,ALPHABET INC,56,1386.32,77633.92,2.97%,2613380,100000,4,
03/03/2020,ECOZ,GS,38141G104,GOLDMAN SACHS GROUP INC,108,209.47,22622.76,0.87%,2613380,100000,4,
03/03/2020,ECOZ,GWW,384802104,GRAINGER W W INC,176,288.88,50842.88,1.95%,2613380,100000,4,
03/03/2020,ECOZ,HSY,427866108,HERSHEY CO,80,152.36,12188.8,0.47%,2613380,100000,4,
03/03/2020,ECOZ,IFF,459506101,INTERNATIONAL FLAVORS&FRAGRANC COM,304,122.56,37258.24,1.43%,2613380,100000,4,
03/03/2020,ECOZ,INTU,461202103,INTUIT,92,281.18,25868.56,0.99%,2613380,100000,4,
03/03/2020,ECOZ,IPG,460690100,INTERPUBLIC GROUP COS INC,572,21.79,12463.88,0.48%,2613380,100000,4,
03/03/2020,ECOZ,IR,45687V106,INGERSOLL RAND INC,204,32.8,6691.2,0.26%,2613380,100000,4,
03/03/2020,ECOZ,ITW,452308109,ILLINOIS TOOL WKS INC,108,173.28,18714.24,0.72%,2613380,100000,4,
03/03/2020,ECOZ,JNJ,478160104,JOHNSON & JOHNSON,132,140.02,18482.64,0.71%,2613380,100000,4,
03/03/2020,ECOZ,JPM,46625H100,JPMORGAN CHASE & CO.,308,121.52,37428.16,1.43%,2613380,100000,4,
03/03/2020,ECOZ,JWN,655664100,NORDSTROM INC,856,34.42,29463.52,1.13%,2613380,100000,4,
03/03/2020,ECOZ,LRCX,512807108,LAM RESEARCH CORP,128,300.33,38442.24,1.47%,2613380,100000,4,
03/03/2020,ECOZ,MA,57636Q104,MASTERCARD INC,180,306.74,55213.2,2.11%,2613380,100000,4,
03/03/2020,ECOZ,MCO,615369105,MOODYS CORP,140,259.52,36332.8,1.39%,2613380,100000,4,
03/03/2020,ECOZ,MRK,58933Y105,MERCK & CO INC,320,81.37,26038.4,1.00%,2613380,100000,4,
03/03/2020,ECOZ,MSCI,55354G100,MSCI INC,92,315.53,29028.76,1.11%,2613380,100000,4,
03/03/2020,ECOZ,MSFT,594918104,MICROSOFT CORP,472,172.79,81556.88,3.12%,2613380,100000,4,
03/03/2020,ECOZ,MSI,620076307,MOTOROLA SOLUTIONS INC,132,173.49,22900.68,0.88%,2613380,100000,4,
03/03/2020,ECOZ,NFLX,64110L106,NETFLIX INC,64,381.05,24387.2,0.93%,2613380,100000,4,
03/03/2020,ECOZ,NKE,654106103,NIKE INC,280,92.68,25950.4,0.99%,2613380,100000,4,
03/03/2020,ECOZ,NVDA,67066G104,NVIDIA CORP,120,276.43,33171.6,1.27%,2613380,100000,4,
03/03/2020,ECOZ,OMC,681919106,OMNICOM GROUP INC,536,70.36,37712.96,1.44%,2613380,100000,4,
03/03/2020,ECOZ,PAYX,704326107,PAYCHEX INC,236,82.08,19370.88,0.74%,2613380,100000,4,
03/03/2020,ECOZ,PEP,713448108,PEPSICO INC,320,137.58,44025.6,1.68%,2613380,100000,4,
03/03/2020,ECOZ,PFE,717081103,PFIZER INC,732,34.88,25532.16,0.98%,2613380,100000,4,
03/03/2020,ECOZ,PLD,74340W103,PROLOGIS INC,216,88.27,19066.32,0.73%,2613380,100000,4,
03/03/2020,ECOZ,PYPL,70450Y103,PAYPAL HLDGS INC,172,112.86,19411.92,0.74%,2613380,100000,4,
03/03/2020,ECOZ,QCOM,747525103,QUALCOMM INC,328,80.56,26423.68,1.01%,2613380,100000,4,
03/03/2020,ECOZ,REGN,75886F107,REGENERON PHARMACEUTICALS,68,464.75,31603,1.21%,2613380,100000,4,
03/03/2020,ECOZ,RHI,770323103,ROBERT HALF INTL INC,368,51.07,18793.76,0.72%,2613380,100000,4,
03/03/2020,ECOZ,ROK,773903109,ROCKWELL AUTOMATION INC,132,190.59,25157.88,0.96%,2613380,100000,4,
03/03/2020,ECOZ,SBUX,855244109,STARBUCKS CORP,476,82.38,39212.88,1.50%,2613380,100000,4,
